,date,username,verified,followersCount,location,content,replyCount,retweetCount,likeCount,sentiment_output_roberta,sentiment_probability_roberta
0,2021-08-27 23:30:49+00:00,juniiorrcr,False,35,"Valencia, España","fuera coñas, voy a palmarla con la puta vacuna, m duele todo y tendre 38 d fiebre o asi, na ripeo🤑🥺😞",3,0,3,LABEL_0,0.9953681230545044
1,2021-08-27 23:24:14+00:00,27marielomo,False,496,"Valencia, España",Creo que lo de que con pfizer t crecen las tetas no es un mito,3,0,1,LABEL_1,0.6385637521743774
2,2021-08-27 23:00:56+00:00,gladiadorax,False,508,"Valencia, España","hace un mes aproximadamente vi un hilo por aquí sobre el tema de la vacuna pfizer y la regla, real que me siento súper identificada con los comentarios que estuve leyendo, ósea regla dura más de lo normal y se adelanta",1,0,1,LABEL_0,0.9741911292076111
3,2021-08-27 22:56:14+00:00,Jimenez7Diego,False,1967,Madrid,¿Es lógico que la gente que paga por ver un espectáculo tenga que estar vacunada y los protagonistas del espectáculo puedan no estarlo? La ATP debe ser valiente y apostar de manera mucho más firme y contundente por la vacunación de tenistas https://t.co/M087NFhgMd,5,1,11,LABEL_0,0.9919149875640869
4,2021-08-27 22:42:29+00:00,Jimenez7Diego,False,1967,Madrid,"El @usopen exige a todos los espectadores que acudan al torneo una prueba de vacunación para poder entrar. Mientras, el número 1 del mundo esgrime el desvirtuado concepto de ""libertad"" cuando se aplica a las vacunas, pidiendo que no se obligue nunca a los tenistas. https://t.co/CMlE0WmK4u",3,0,8,LABEL_0,0.9949224591255188
5,2021-08-27 22:37:55+00:00,JompyTV,False,805,"Madrid, España",Estoy viendo el live action de Given y entre que estoy malito por la vacuna y estoy súper sensible. OMG https://t.co/UHAVJ8QHVN,0,0,2,LABEL_0,0.9948469400405884
6,2021-08-27 22:26:03+00:00,luma97,False,1361,Madrid (España),Vaya 5 el día de la vacuna eso es que voy a tener de todo https://t.co/zcm3Bh91rM,1,0,1,LABEL_1,0.889789342880249
7,2021-08-27 22:22:39+00:00,immeibitch,False,68,"Madrid, España",Me esta subiendo l fiebre con la vacuna ayuda,0,0,1,LABEL_0,0.9801064729690552
8,2021-08-27 22:19:23+00:00,hola,True,1688320,Madrid (España),Inician el ensayo de la vacuna española contra el COVID con las primeras dosis en humanos https://t.co/pQPma76MSv,0,1,19,LABEL_1,0.7115901112556458
9,2021-08-27 22:17:48+00:00,Pauffdez,False,1158,"Valencia, España","La vacuna ha hecho que me enganche al remix de la Aitana de Mon amour, to el día en la cabeza 😾",1,1,0,LABEL_1,0.9131941795349121
10,2021-08-27 22:11:55+00:00,bellabolat_57,False,899,Madrid España ,"Anda que el buba disfrazado de vacuna tiene un punto jajajaja 
#LoveFridaysEnDivinity",0,4,1,LABEL_0,0.5212460160255432
11,2021-08-27 22:10:54+00:00,bellabolat_57,False,899,Madrid España ,"Ufff serkan cállate que la lias con la vacuna
#LoveFridaysEnDivinity",0,1,0,LABEL_0,0.993467390537262
12,2021-08-27 22:07:39+00:00,sicksadnoe,False,180,madrid,"me han recetado pastillas pfizer (no viagra) y en la caja pone literalmente prohibido conducir así q creo q hoy va a ser la primera noche d mi vida en la que voy a dormir bien, buenas noches",0,0,4,LABEL_0,0.9343666434288025
13,2021-08-27 22:01:29+00:00,RamRock,False,2199,"Madrid, Comunidad de Madrid",Tener SARS-CoV-2 una vez confiere una inmunidad mucho mayor que una vacuna –... https://t.co/of7zwd5zZk on @bloglovin,0,0,1,LABEL_1,0.8751692175865173
14,2021-08-27 21:51:05+00:00,_AITB_,False,317,,"Tu cuerpo e' un Bugatti, -atti
no soy sugar daddy, -addy
pero tengo el ticke' pa' bajarte de ese Yari', Yari'
Llama, que ese cuello te lo chupo como Drácula
Tú te ve' enfermita, baby, te traje la vacuna

*ahhhhhhhh buenoooooooo*",2,0,2,LABEL_0,0.9881815314292908
15,2021-08-27 21:47:55+00:00,GerardPG_10,False,17,"El Prat de Llobregat, España",Veras mañana las risas con la segunda dosis de la vacuna.,0,0,1,LABEL_1,0.9758026003837585
16,2021-08-27 21:47:40+00:00,meblasco,False,577,"Madrid, Comunidad de Madrid",Que los ingleses tengan a cualquiera en una lista roja de Covid después de haber esparcido la variante Delta y de haber hecho cualquiera en un año y medio es una payasada.,1,0,1,LABEL_0,0.9942474365234375
17,2021-08-27 21:43:12+00:00,BrosaSergio,False,150,Barcelona,"Un médico estadouidense analiza viales de Janssen, AstraZeneca, Pfizer y Moderna y encuentra lo que ya sabemos casi todos https://t.co/4Vy55bOttM vía @ElDiestro_",0,0,1,LABEL_0,0.9699149131774902
